[0808/181924.314:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5e04001b0a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/181924.441:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5e04001b0a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/181924.459:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5e04001b0a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/181924.475:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5e04001b0a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0808/191554.039:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1914001aa600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/191554.136:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1914001aa600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/191554.162:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1914001aa600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/191554.172:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1914001aa600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0808/193702.186:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x325c001b3400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/193702.210:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x325c001b3400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/193702.225:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x325c001b3400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/193702.238:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x325c001b3400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0808/195731.084:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2374001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/195731.198:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2374001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/195731.228:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2374001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/195731.244:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2374001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0808/200419.807:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b5c001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/200419.831:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b5c001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/200419.848:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b5c001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/200419.859:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b5c001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0808/201028.975:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6f7c001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/201029.084:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6f7c001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/201029.108:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6f7c001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0808/201029.120:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6f7c001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/114729.990:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x71ac00b8c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/114730.092:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x71ac00b8c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/114730.108:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x71ac00b8c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/114730.118:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x71ac00b8c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/115758.356:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56b4001a7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/115758.490:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56b4001a7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/115758.506:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56b4001a7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/115758.531:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56b4001a7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/121419.211:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4c9c00b24c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/121419.310:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4c9c00b24c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/121419.327:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4c9c00b24c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/121419.339:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4c9c00b24c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/121518.376:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3894001c6200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/121518.482:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3894001c6200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/121518.496:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3894001c6200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/121518.508:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3894001c6200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/123924.427:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7224001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/123924.535:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7224001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/123924.552:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7224001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/123924.565:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7224001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125453.446:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x101c001b9000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125453.557:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x101c001b9000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125453.574:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x101c001b9000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125453.589:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x101c001b9000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125534.249:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:488] GPU state invalid after WaitForGetOffsetInRange.
[0809/125546.844:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125546.944:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125546.966:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125546.979:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125638.673:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125638.788:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125638.802:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125638.815:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125700.875:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125700.980:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125700.994:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125701.005:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125811.431:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125811.539:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125811.553:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125811.573:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/133010.062:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/133010.168:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
